10m;area 10m 
v23b;area v23b in posterior cingulate cortex 
V3A;visual area V3A 
V3d;visual area 3, dorsal part 
V3v;visual area 3, ventral part 
V4;visual area 4 
V4t;V4 transitional area 
V4v;visual area 4, ventral part 
VA;ventral anterior nucleus 
VIP;ventral intraparietal area 
VLc;ventral lateral caudal nucleus 
VLps;ventral lateral postrema nucleus 
VPLc;ventral posterior lateral caudal nucleus 
VPM;ventral posterior medial nucleus 
